Stratification1,Stratification2,Data_Value
Female,Hispanic,221.8
Female,Hispanic,146.2
Female,Hispanic,123.4
Female,Hispanic,261.9
Female,Hispanic,68.6
Female,Hispanic,157.1
Female,Hispanic,137
Female,Hispanic,170.6
Female,Hispanic,54.1
Female,Hispanic,156.8
Female,Hispanic,222.3
Female,Hispanic,174.3
Female,Hispanic,278.9
Female,Hispanic,122.5
Female,Hispanic,190.3
Female,Hispanic,68.2
Female,Hispanic,203.5
Female,Hispanic,166.1
Female,Hispanic,226.8
Female,Hispanic,139.3
Female,Hispanic,97.7
Female,Hispanic,176
Female,Hispanic,140
Female,Hispanic,168.1
Female,Hispanic,49.1
Female,Hispanic,142.7
Female,Hispanic,196.3
Female,Hispanic,150
Female,Hispanic,134.9
Female,Hispanic,159.8
